Product,Store,RMSE,MAPE,Model Runtime,Model,Epochs
8011001,1096,10.726307122352743,28.935802537217555,0.4757943153381347,ARIMA,1
8011001,1096,11.394928570469922,31.4482866634079,62.126189947128296,SARIMA,1
8011001,2177,7.396409993231303,57.75137216743675,0.5555398464202881,ARIMA,1
8011001,2177,7.666927967377199,64.48183857741488,48.641831159591675,SARIMA,1
8011001,2189,14.083897808705505,35.88017501684834,0.5525767803192139,ARIMA,1
8011001,2189,10.932410646558964,29.064310441790063,49.469929933547974,SARIMA,1
8011001,3328,1.844223145814485,88.87133894710665,0.4688670635223388,ARIMA,1
8011001,3328,1.8921959503377257,95.620927584629,35.61776399612427,SARIMA,1
8011001,3349,3.784886386441074,58.16449848283729,0.5254867076873779,ARIMA,1
8011001,3349,3.780632764540507,55.28880430114393,51.87604093551636,SARIMA,1
8011001,3889,10.593624289797363,36.91702980668231,0.6264071464538574,ARIMA,1
8011001,3889,8.300005701034415,28.18575523278896,83.1172502040863,SARIMA,1
8011001,4388,2.415519430655426,87.34935714733167,0.4682550430297851,ARIMA,1
8011001,4388,2.4058909688179395,86.33793902697839,82.92887234687805,SARIMA,1
8011001,4816,2.5912009208061977,88.8815776584233,0.4668087959289551,ARIMA,1
8011001,4816,2.6793730707015,112.25903204680714,62.091289043426514,SARIMA,1
8011001,5136,6.689280892987538,79.27362030557836,0.4985418319702148,ARIMA,1
8011001,5136,6.617567656857212,78.86959465201666,115.98067212104796,SARIMA,1
8011003,1096,16.943511877042866,32.704815869826135,0.5103490352630615,ARIMA,1
8011003,1096,16.69123416800265,31.70976112250611,66.41115093231201,SARIMA,1
8011003,2177,7.020503998331603,50.05386155097329,0.4816231727600097,ARIMA,1
8011003,2177,7.488116979668423,54.80298466449928,45.7771258354187,SARIMA,1
8011003,2189,7.1624713102133075,70.43348561240758,0.5321719646453857,ARIMA,1
8011003,2189,7.079967015682568,82.0765012266403,112.38889217376708,SARIMA,1
8011003,3328,1.7828832934379195,83.07302416315224,0.5590629577636719,ARIMA,1
8011003,3328,1.7934480315705812,82.8903498194997,63.20988202095032,SARIMA,1
8011003,3349,3.9063598054759376,66.75239379923856,0.5242922306060791,ARIMA,1
8011003,3349,3.882104570494911,67.66407431510424,65.18147397041321,SARIMA,1
8011003,3889,8.310862454233419,55.66786426302643,0.5505421161651611,ARIMA,1
8011003,3889,7.026848514280019,47.333414891659686,33.307653188705444,SARIMA,1
8011003,4388,2.272286651770853,72.90538354971544,0.402385950088501,ARIMA,1
8011003,4388,2.20747357899075,71.83595624421699,30.88570809364319,SARIMA,1
8011003,4816,2.9607585617257777,111.51759323644524,0.4012889862060547,ARIMA,1
8011003,4816,2.964230780936755,96.07945750331706,119.04700803756714,SARIMA,1
8011003,5136,5.262857427240956,72.71677206936796,0.4902031421661377,ARIMA,1
8011003,5136,5.251125256931285,72.18694694879011,96.58421564102171,SARIMA,1
8010903,1096,18.679789427627735,40.079521565164825,0.435884952545166,ARIMA,1
8010903,1096,17.48509299963341,33.39263779575647,90.88705277442932,SARIMA,1
8010903,2177,6.597837732838299,66.83872221740165,0.514484167098999,ARIMA,1
8010903,2177,6.536524017155962,63.37486834212923,87.23883700370789,SARIMA,1
8010903,2189,10.385895478172747,82.7520095487728,0.4792039394378662,ARIMA,1
8010903,2189,9.706304390195395,50.55408864043133,142.81284308433533,SARIMA,1
8010903,3328,5.299847456734722,78.89279572559016,0.4134237766265869,ARIMA,1
8010903,3328,5.203580613210788,79.51849716418808,95.1456208229065,SARIMA,1
8010903,3349,3.2614116842141705,106.204882392087,0.6612181663513184,ARIMA,1
8010903,3349,3.1583704875463874,101.18734424542563,34.84226608276367,SARIMA,1
8010903,3889,5.057228874750358,69.77455211372393,0.7811729907989502,ARIMA,1
8010903,3889,4.9184136653795205,63.97806468756661,70.30261898040771,SARIMA,1
8010903,4388,1.9661040074956384,83.25655595009786,0.5100488662719727,ARIMA,1
8010903,4388,1.9649054481614991,82.93316179162798,101.58662819862366,SARIMA,1
8010903,4816,0.6499730157267211,47.893187499587555,0.5728840827941895,ARIMA,1
8010903,4816,0.6318239827413712,41.77493808198408,31.411335945129395,SARIMA,1
8010903,5136,3.8588328313033458,76.03454562110751,0.4795749187469482,ARIMA,1
