tarih,magaza_no,mal_no,toplam_satis_tl,toplam_satis_adet
2017-09-17,5136,8011001,22.24,13
2017-09-18,5136,8011001,10.27,6
2017-09-19,5136,8011001,22.26,13
2017-09-20,5136,8011001,18.83,11
2017-09-21,5136,8011001,10.27,6
2017-09-22,5136,8011001,5.14,3
2017-09-23,5136,8011001,27.39,16
2017-09-24,5136,8011001,15.4,9
2017-09-25,5136,8011001,11.98,7
2017-09-26,5136,8011001,11.98,7
2017-09-27,5136,8011001,22.27,13
2017-09-28,5136,8011001,11.98,7
2017-09-29,5136,8011001,15.4,9
2017-09-30,5136,8011001,27.42,16
2017-10-01,5136,8011001,11.98,7
2017-10-02,5136,8011001,13.69,8
2017-10-03,5136,8011001,18.81,11
2017-10-04,5136,8011001,15.41,9
2017-10-05,5136,8011001,15.4,9
2017-10-06,5136,8011001,29.12,17
2017-10-07,5136,8011001,22.26,13
2017-10-08,5136,8011001,6.85,4
2017-10-09,5136,8011001,20.55,12
2017-10-10,5136,8011001,15.41,9
2017-10-11,5136,8011001,15.41,9
2017-10-12,5136,8011001,23.99,14
2017-10-13,5136,8011001,27.41,16
2017-10-14,5136,8011001,6.85,4
2017-10-15,5136,8011001,18.83,11
2017-10-16,5136,8011001,20.56,12
2017-10-17,5136,8011001,15.4,9
2017-10-18,5136,8011001,34.25,20
2017-10-19,5136,8011001,13.71,8
2017-10-20,5136,8011001,6.85,4
2017-10-21,5136,8011001,22.25,13
2017-10-22,5136,8011001,27.42,16
2017-10-23,5136,8011001,8.56,5
2017-10-24,5136,8011001,37.69,22
2017-10-25,5136,8011001,17.12,10
2017-10-26,5136,8011001,17.11,10
2017-10-27,5136,8011001,11.98,7
2017-10-28,5136,8011001,34.24,20
2017-10-29,5136,8011001,32.53,19
2017-10-30,5136,8011001,22.26,13
2017-10-31,5136,8011001,3.42,2
2017-11-01,5136,8011001,22.26,13
2017-11-02,5136,8011001,13.71,8
2017-11-03,5136,8011001,13.69,8
2017-11-04,5136,8011001,17.12,10
2017-11-05,5136,8011001,32.53,19
2017-11-06,5136,8011001,44.51,26
2017-11-07,5136,8011001,25.67,15
2017-11-08,5136,8011001,15.41,9
2017-11-09,5136,8011001,23.98,14
2017-11-10,5136,8011001,22.25,13
2017-11-11,5136,8011001,37.67,22
2017-11-12,5136,8011001,23.98,14
2017-11-13,5136,8011001,6.85,4
2017-11-14,5136,8011001,25.67,15
2017-11-15,5136,8011001,6.85,4
2017-11-16,5136,8011001,22.27,13
2017-11-17,5136,8011001,25.7,15
2017-11-18,5136,8011001,23.97,14
2017-11-19,5136,8011001,25.67,15
2017-11-20,5136,8011001,5.14,3
2017-11-21,5136,8011001,15.42,9
2017-11-22,5136,8011001,15.4,9
2017-11-23,5136,8011001,6.85,4
2017-11-24,5136,8011001,25.7,15
2017-11-25,5136,8011001,17.11,10
2017-11-26,5136,8011001,18.84,11
2017-11-27,5136,8011001,15.41,9
2017-11-28,5136,8011001,15.4,9
2017-11-29,5136,8011001,20.56,12
2017-11-30,5136,8011001,15.4,9
2017-12-01,5136,8011001,51.38,30
2017-12-02,5136,8011001,25.68,15
2017-12-03,5136,8011001,30.83,18
2017-12-04,5136,8011001,25.7,15
2017-12-05,5136,8011001,27.41,16
2017-12-06,5136,8011001,17.13,10
2017-12-07,5136,8011001,8.56,5
2017-12-08,5136,8011001,17.11,10
2017-12-09,5136,8011001,44.51,26
2017-12-10,5136,8011001,18.83,11
2017-12-11,5136,8011001,10.28,6
2017-12-12,5136,8011001,8.56,5
2017-12-13,5136,8011001,6.84,4
2017-12-14,5136,8011001,3.42,2
2017-12-15,5136,8011001,25.7,15
2017-12-16,5136,8011001,54.81,32
2017-12-17,5136,8011001,39.37,23
2017-12-18,5136,8011001,11.98,7
2017-12-19,5136,8011001,20.54,12
2017-12-20,5136,8011001,20.54,12
2017-12-21,5136,8011001,20.55,12
2017-12-22,5136,8011001,32.54,19
2017-12-23,5136,8011001,13.7,8
2017-12-24,5136,8011001,37.67,22
2017-12-25,5136,8011001,5.14,3
2017-12-26,5136,8011001,15.41,9
2017-12-27,5136,8011001,6.84,4
2017-12-28,5136,8011001,6.85,4
2017-12-29,5136,8011001,10.26,6
2017-12-30,5136,8011001,25.67,15
2017-12-31,5136,8011001,8.55,5
